Crypto,Date,Open,High,Low,Close
LTC,2020-02-02,70.27,73.19,67.74,71.85
LTC,2020-02-01,67.94,72.7,67.46,70.27
LTC,2020-01-31,69.06,69.6,65.29,67.93
LTC,2020-01-30,60.1,69.99,58.12,68.94
LTC,2020-01-29,59.38,62.33,58.92,60.14
LTC,2020-01-28,58.94,61.39,57.3,59.38
LTC,2020-01-27,55.82,59.45,55.55,58.94
LTC,2020-01-26,53.7,56.45,52.81,55.82
LTC,2020-01-25,54.66,54.69,52.24,53.7
LTC,2020-01-24,54.22,55.3,50.65,54.77
LTC,2020-01-23,58.13,58.2,52.5,54.22
LTC,2020-01-22,57.17,59.1,56.93,58.06
LTC,2020-01-21,57.4,57.98,55.85,57.17
LTC,2020-01-20,56.98,58.13,55.79,57.4
LTC,2020-01-19,60.29,62.27,55.46,56.92
LTC,2020-01-18,61.15,62.5,57.94,60.29
LTC,2020-01-17,57.7,63.16,56.75,61.15
LTC,2020-01-16,58.28,59.13,54.7,57.76
LTC,2020-01-15,57.52,60.17,55.26,58.28
LTC,2020-01-14,49.88,60.71,49.54,57.52
LTC,2020-01-13,50.23,51.5,48.92,49.88
LTC,2020-01-12,50.44,51.41,48.83,50.23
LTC,2020-01-11,48.76,51.92,47.8,50.44
LTC,2020-01-10,44.31,49.62,43.85,48.64
LTC,2020-01-09,45.0,45.8,43.92,44.28
LTC,2020-01-08,46.2,48.57,44.26,45.0
LTC,2020-01-07,45.05,46.73,44.53,46.2
LTC,2020-01-06,43.3,45.34,43.02,45.05
LTC,2020-01-05,42.6,44.47,42.34,43.3
LTC,2020-01-04,41.41,42.79,41.41,42.6
LTC,2020-01-03,39.39,42.34,38.74,41.41
LTC,2020-01-02,41.6,41.6,39.16,39.39
LTC,2020-01-01,41.13,41.93,41.05,41.6
LTC,2019-12-31,42.23,42.94,40.86,41.18
LTC,2019-12-30,42.83,44.0,41.71,42.23
LTC,2019-12-29,42.89,43.67,42.14,42.83
LTC,2019-12-28,40.77,43.64,40.77,42.89
LTC,2019-12-27,40.11,41.29,39.61,40.77
LTC,2019-12-26,40.07,41.64,39.61,40.11
LTC,2019-12-25,40.69,40.72,39.42,40.09
LTC,2019-12-24,40.99,41.12,39.71,40.69
LTC,2019-12-23,41.98,42.64,40.89,40.99
LTC,2019-12-22,39.79,42.15,39.62,41.98
LTC,2019-12-21,40.22,40.3,39.53,39.79
LTC,2019-12-20,39.72,40.34,39.3,40.22
LTC,2019-12-19,40.84,41.37,39.14,39.72
LTC,2019-12-18,36.93,41.35,35.94,40.84
LTC,2019-12-17,40.04,40.14,36.57,36.93
LTC,2019-12-16,43.51,43.59,39.04,40.05
LTC,2019-12-15,43.38,43.87,42.93,43.51
LTC,2019-12-14,44.21,44.61,43.27,43.38
LTC,2019-12-13,43.79,44.44,43.41,44.21
LTC,2019-12-12,43.48,44.03,43.06,43.79
LTC,2019-12-11,43.85,44.38,43.31,43.42
LTC,2019-12-10,44.51,44.54,43.65,43.85
LTC,2019-12-09,45.69,45.86,44.13,44.51
LTC,2019-12-08,45.1,46.23,45.0,45.69
LTC,2019-12-07,45.16,46.51,45.1,45.1
LTC,2019-12-06,44.63,45.46,44.13,45.16
LTC,2019-12-05,44.62,45.18,43.78,44.63
LTC,2019-12-04,45.18,47.16,43.88,44.62
LTC,2019-12-03,45.49,46.25,44.44,45.18
LTC,2019-12-02,47.71,47.95,44.8,45.54
LTC,2019-12-01,47.32,48.36,45.59,47.71
LTC,2019-11-30,48.49,48.82,46.82,47.32
LTC,2019-11-29,47.29,49.3,46.45,48.61
LTC,2019-11-28,47.87,48.08,46.84,47.31
LTC,2019-11-27,46.89,48.75,44.67,47.87
LTC,2019-11-26,46.34,47.35,45.46,46.89
LTC,2019-11-25,45.14,47.45,42.16,46.34
LTC,2019-11-24,47.66,48.3,43.84,45.14
LTC,2019-11-23,48.35,48.42,46.35,47.66
LTC,2019-11-22,50.54,51.38,43.75,48.35
LTC,2019-11-21,55.03,55.18,48.75,50.6
LTC,2019-11-20,54.8,56.06,54.58,55.03
LTC,2019-11-19,56.22,56.22,54.3,54.8
LTC,2019-11-18,59.65,59.8,53.92,56.22
LTC,2019-11-17,58.02,60.0,57.65,59.65
LTC,2019-11-16,57.5,58.84,57.17,58.03
LTC,2019-11-15,59.1,60.56,56.23,57.5
LTC,2019-11-14,60.78,61.06,58.34,59.1
LTC,2019-11-13,61.41,61.94,60.22,60.72
LTC,2019-11-12,62.43,62.5,59.84,61.41
LTC,2019-11-11,64.0,64.32,60.66,62.47
LTC,2019-11-10,61.86,65.1,61.49,64.0
LTC,2019-11-09,60.76,61.89,60.08,61.86
LTC,2019-11-08,61.52,62.35,58.81,60.69
LTC,2019-11-07,63.45,64.25,60.43,61.52
LTC,2019-11-06,63.28,63.92,62.67,63.45
LTC,2019-11-05,61.63,64.09,60.94,63.27
LTC,2019-11-04,58.03,62.6,58.0,61.63
LTC,2019-11-03,58.32,58.69,57.29,58.03
LTC,2019-11-02,58.17,59.25,57.94,58.32
LTC,2019-11-01,58.39,58.9,57.14,58.17
LTC,2019-10-31,58.11,59.68,57.16,58.39
LTC,2019-10-30,59.98,61.14,57.11,58.11
LTC,2019-10-29,58.6,60.81,57.83,60.15
LTC,2019-10-28,60.64,62.55,57.66,58.65
LTC,2019-10-27,56.08,62.78,55.86,60.64
LTC,2019-10-26,56.96,63.77,54.3,56.08
LTC,2019-10-25,49.8,58.72,49.21,57.0
LTC,2019-10-24,49.41,50.35,48.38,49.8
LTC,2019-10-23,54.03,54.12,47.48,49.46
LTC,2019-10-22,54.67,55.16,53.94,54.03
LTC,2019-10-21,54.95,55.62,53.79,54.67
LTC,2019-10-20,53.71,55.47,52.8,54.95
LTC,2019-10-19,52.99,54.16,52.69,53.71
LTC,2019-10-18,54.46,54.98,52.32,52.99
LTC,2019-10-17,52.5,55.19,51.61,54.46
LTC,2019-10-16,54.47,55.3,51.08,52.5
LTC,2019-10-15,56.72,57.4,53.82,54.47
LTC,2019-10-14,56.25,57.12,55.98,56.72
LTC,2019-10-13,55.99,57.68,55.68,56.25
LTC,2019-10-12,55.81,56.44,55.53,55.99
LTC,2019-10-11,57.84,58.57,55.79,55.81
LTC,2019-10-10,59.23,59.64,57.44,57.84
LTC,2019-10-09,56.69,60.0,56.64,59.23
LTC,2019-10-08,57.43,58.52,56.57,56.69
